X1,X2,X3,X4,Y1,Y2,Y3,Y4
750,20,150,4,54.8190445077191,162.281056870511,57.5990867645217,519.248113174378
1250,20,150,4,45.844291503831,143.219057940659,55.8244054311269,503.976571516499
1750,20,150,4,40.7730927714365,131.511861613116,54.8377540888492,489.144065002624
250,40,150,4,53.6823465379928,159.905288865976,57.1018002342061,508.946399913588
750,40,150,4,49.9730729806922,153.252969416971,56.5270041559891,509.935919078389
1250,40,150,4,43.832884740294,141.263129165821,55.5730957293501,505.331832350258
1750,40,150,4,40.6150561914716,134.370880070187,55.1545173359694,499.46217407815
250,60,150,4,43.2845649119077,136.590024912469,54.9058010640511,487.26101555076
750,60,150,4,42.5673146408533,136.4162244019,54.8992546858927,496.175932414783
1250,60,150,4,42.8515541361456,138.944396175357,55.3204840018391,510.774128476644
1750,60,150,4,43.7678935989741,141.787182308241,55.8013452486737,520.198098193248
250,80,150,4,38.7240072824511,125.353225814022,54.056455629141,479.573306972519
750,80,150,4,39.8723580678229,128.51833559429,54.3128530945525,492.296633618923
1250,80,150,4,44.3075755994173,138.658118566767,55.3387279949131,515.220346931552
250,20,300,4,55.0521480258399,163.132381946224,57.1993403794795,513.123042729235
750,20,300,4,54.1947614258175,163.604177174838,56.9895752217453,528.613614683135
1250,20,300,4,49.4972850876748,154.803791699794,56.1598065413239,531.423065585394
1750,20,300,4,43.6548514956684,140.560656894291,55.2420013733494,509.65137192765
750,40,300,4,47.741463889523,150.396457930698,55.3905825208289,510.370299812146
1250,40,300,4,43.9968196032958,145.537308721989,55.2543836268691,518.378738721083
1750,40,300,4,40.3963655486536,138.079350977299,55.2297141013386,510.071214568977
250,60,300,4,39.8266067553992,129.225239737682,53.6832150164024,483.598875753881
750,60,300,4,38.4357152693269,128.652357215386,53.4882411070566,497.019760898001
1250,60,300,4,38.6342617095207,133.42818904918,54.4652289024618,512.161218881312
250,80,300,4,35.9687409079419,119.870874389831,53.1873749880109,486.333615680526
750,80,300,4,35.5849024787424,120.840630089972,53.1136445500263,502.646015063204
1250,80,300,4,38.9745777019271,130.194151677526,54.4402064296502,516.607931285045
1750,80,300,4,42.4671509244214,138.637067895525,55.6477573254073,521.513263865939
250,20,450,4,45.2907896558861,140.949866153463,54.9012535306407,489.27507167682
750,20,450,4,48.4280664914058,151.142842575732,54.9929714119156,514.088951473319
1750,20,450,4,44.6592991189641,143.515996474307,54.4927084633606,508.57970961917
250,40,450,4,40.3621481799285,128.487039801522,53.316627397877,469.934108155462
750,40,450,4,40.4733205993399,131.663405539365,52.5819370483695,479.92848173055
1250,40,450,4,40.8499667278853,137.624996652693,52.881092491482,493.721530927429
1750,40,450,4,39.3221568618019,134.750459051629,53.7278628354762,491.6176627948
250,60,450,4,33.5737482909361,111.19368473082,51.9136442852191,463.745049226043
750,60,450,4,31.295397699853,108.223545400092,50.7685031072764,467.916454356594
1250,60,450,4,32.8921039401672,117.598898658197,51.8204458462446,478.157448286291
1750,60,450,4,35.4970991202614,126.229474098175,53.7131307022888,486.180033596218
250,80,450,4,32.1726887635699,109.067433544288,52.1900660803702,480.974352153338
1250,80,450,4,33.03420935292,115.599388256444,52.5120272872547,494.324213279947
1750,80,450,4,36.8653482030781,125.374211175763,54.1639942471856,491.855939083972
250,20,600,4,39.4145272433721,126.066355787254,53.673605899877,469.964371334643
750,20,600,4,41.3281944110662,133.00661767357,53.1202530981792,477.913683698823
1250,20,600,4,42.8015366100705,139.062458426124,52.8000066569978,484.634579777492
1750,20,600,4,41.0577412737589,133.645870063755,52.9670109848996,476.904227977155
250,40,600,4,35.2215408117836,113.422616448051,52.2191272604847,448.22650733632
750,40,600,4,34.1226473361136,112.998836325007,50.5653999430876,438.074680766163
1750,40,600,4,36.8410310347842,125.255196015936,51.9242001045656,455.993721354415
250,60,600,4,30.9927212186158,100.836459538782,51.4137006760946,442.313722140108
1250,60,600,4,30.2701830459728,105.554016692019,50.0274489569711,434.848688257472
1750,60,600,4,34.4247222484912,118.245482966443,52.2286550808587,454.319885595468
250,80,600,4,31.5307488663485,103.956847724892,52.254784713331,463.01962083437
750,80,600,4,29.3784141409309,99.5058968677135,50.9843305990938,461.710405177017
1250,80,600,4,31.9700347677047,108.530804342366,51.6874725499686,463.539309961735
1750,80,600,4,35.761704994206,119.192356395006,53.2672956320407,468.559228542459
250,20,150,8,42.7827208496443,138.686913996346,55.9314937130146,495.167533623971
750,20,150,8,42.5399902592874,141.185659322659,56.1704620400049,500.86881740908
1250,20,150,8,40.038985040156,133.2322179632,55.1266686450794,486.043930979233
1750,20,150,8,38.045873298574,124.596573503289,54.2196357078746,470.874087996063
250,40,150,8,40.9072067907843,134.9249116592,55.779520869925,495.312507125927
1250,40,150,8,38.4660707904468,131.36277383694,54.7228466377413,480.594312921372
1750,40,150,8,36.9729499703691,123.282101359419,53.9092280286385,464.941267341112
250,60,150,8,37.4248572631669,123.756589569807,54.7013592145407,475.283220023637
750,60,150,8,36.9415798429742,125.316022121053,54.7794573213147,472.850357907171
1750,60,150,8,36.4952230202183,121.140946301534,53.8631293845629,456.563406613106
250,80,150,8,36.3602970222101,118.414623313495,54.247246667929,463.420667597761
750,80,150,8,35.5644240499547,116.838446299883,54.5572375862859,455.908846439933
1250,80,150,8,35.6244981364843,116.497147669737,54.6718047222954,449.248453173214
1750,80,150,8,37.2338433010243,120.056739902782,54.5868423342318,458.261679125156
250,20,300,8,40.8412221371232,133.774756265972,55.1711087758729,479.332926466886
1250,20,300,8,38.6490990089495,128.887661808516,54.4200552263802,470.081848203267
1750,20,300,8,36.0247106100037,118.315343523378,53.4511398608302,454.534366737727
250,40,300,8,36.5376087973154,121.729017603358,54.5039445197957,465.106452377033
750,40,300,8,37.0375903307044,126.505270018455,55.0087539827496,472.438732767266
1250,40,300,8,35.4623359952907,121.37320721794,54.4348177323065,461.018504049966
1750,40,300,8,33.8225658053938,113.695172833143,53.776843074578,449.651297724012
250,60,300,8,31.187236759897,104.180891881559,53.6598510523494,441.444092125104
750,60,300,8,31.6367285211051,107.716063567582,54.4244045424406,445.137566052524
1250,60,300,8,32.3814796160198,110.148851912775,54.7571524840868,443.259781584485
1750,60,300,8,33.5439172620114,112.177499971878,54.5618958301941,448.287580724866
250,80,300,8,31.2512746439679,102.250003384616,54.0671266063302,442.405511627207
750,80,300,8,31.0773371846921,102.126892697531,54.9946747430504,439.925493808883
1750,80,300,8,35.1246746354349,113.666364277361,55.4396039693382,453.27741639938
250,20,450,8,37.7374469717839,123.40735637848,54.0356189313783,461.552266455342
750,20,450,8,37.9934509054592,125.345497270267,53.7187033154038,458.627410017758
1250,20,450,8,35.7696378127903,117.571917737125,52.1692563327728,438.125156864506
1750,20,450,8,33.0010140933634,107.571183254609,50.8905162532764,417.972165682627
250,40,450,8,31.4948388859284,104.397048086815,53.1413141945045,434.440424761112
750,40,450,8,32.4865529277034,108.955829831476,53.2649602686728,438.326336130319
1250,40,450,8,32.1307905651655,107.868370757427,52.7361913529093,431.433479194831
750,60,450,8,26.6972209920228,89.377628550424,53.6466803045261,420.538654234595
1250,60,450,8,30.1431247230382,100.662912555777,54.1660532524487,433.079243461329
1750,60,450,8,32.0278683767483,106.310752750853,54.1072765732036,440.908619842655
250,80,450,8,25.3044195272291,82.2135688231079,54.6193759217428,423.7950554861
750,80,450,8,27.1982409012977,88.6520973061843,55.0631205602374,431.146164818695
1250,80,450,8,31.542007436053,102.446887749545,55.4674666341893,444.025405440527
1750,80,450,8,34.6913535137435,112.436903618149,55.146215892657,455.38385534347
250,20,600,8,36.8401203179062,119.245686638728,53.6967749202381,459.170307409878
750,20,600,8,36.4923407711519,118.443332282229,52.7615193885912,448.521982047125
1250,20,600,8,34.3301965193427,111.203690190811,50.4031674461451,418.123403903493
250,40,600,8,31.7428873872444,103.17624095111,53.3201438658624,437.301482548334
750,40,600,8,32.2404890176098,105.415166759906,52.6651804710956,433.149178424651
1250,40,600,8,32.1424371243784,105.492801235403,51.3007156191317,419.525706475452
1750,40,600,8,31.4356242982299,102.88946769618,50.4898900352342,408.830622626342
250,60,600,8,25.4898281665694,82.2758567625696,54.1827385120507,419.440801898912
750,60,600,8,27.7739290359386,90.2725644527039,53.758580943344,425.798348726279
1250,60,600,8,31.7119951290913,103.670881608374,53.2972567650596,436.08938803569
1750,60,600,8,33.6154448605995,109.831824415231,53.1299861837495,441.5894578805
750,80,600,8,28.0095551769509,89.7425625854439,55.3238638238207,438.510690932316
1250,80,600,8,33.2690284521167,107.331457526145,54.6621257715535,452.799304245301
1750,80,600,8,36.0674205068991,116.518251562622,54.3393688111474,460.868453655096
